geometry;commune;libelle;code-postal;objectid;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [3.056690709282, 50.618280940013]}";LILLE;LA POSTE;59000;6388;50.61828094, 3.05669070928
"{""type"": ""Point"", ""coordinates"": [3.0434763705354, 50.631850840932]}";LILLE;LA POSTE VAUBAN;59000;18280;50.6318508409, 3.04347637054
"{""type"": ""Point"", ""coordinates"": [3.0646598292646, 50.637787453632]}";LILLE;LA POSTE BOURSE;59000;18301;50.6377874536, 3.06465982926
"{""type"": ""Point"", ""coordinates"": [3.0761221556122, 50.637358430766]}";LILLE;LA POSTE EURALILLE;59000;18300;50.6373584308, 3.07612215561
"{""type"": ""Point"", ""coordinates"": [3.1215564937009, 50.753085853616]}";RONCQ;LA POSTE;59223;19061;50.7530858536, 3.1215564937
"{""type"": ""Point"", ""coordinates"": [2.8316300140192, 50.56090258804]}";ILLIES;LA POSTE;59480;2036;50.560902588, 2.83163001402
"{""type"": ""Point"", ""coordinates"": [3.0750375206853, 50.632363129107]}";LILLE;LA POSTE SAINT SAUVEUR;59000;26371;50.6323631291, 3.07503752069
"{""type"": ""Point"", ""coordinates"": [3.1631795184786, 50.718080854491]}";TOURCOING;LA POSTE SALEMBIEN;59200;1699;50.7180808545, 3.16317951848
"{""type"": ""Point"", ""coordinates"": [3.0534327433963, 50.686229944967]}";WAMBRECHIES;LA POSTE;59118;1774;50.686229945, 3.0534327434
"{""type"": ""Point"", ""coordinates"": [3.0781156038611, 50.736500950865]}";LINSELLES;LA POSTE;59126;1034;50.7365009509, 3.07811560386
"{""type"": ""Point"", ""coordinates"": [3.176228379476, 50.690215572796]}";ROUBAIX;HOTEL DES POSTES;59100;1445;50.6902155728, 3.17622837948
"{""type"": ""Point"", ""coordinates"": [2.8886601171998, 50.584112625385]}";FOURNES-EN-WEPPES;LA POSTE;59134;509;50.5841126254, 2.8886601172
"{""type"": ""Point"", ""coordinates"": [3.0773220287373, 50.605142986555]}";RONCHIN;LA POSTE;59790;3708;50.6051429866, 3.07732202874
"{""type"": ""Point"", ""coordinates"": [3.054119275985, 50.570868569859]}";TEMPLEMARS;LA POSTE;59175;3755;50.5708685699, 3.05411927599
"{""type"": ""Point"", ""coordinates"": [3.2021017637185, 50.610967785579]}";CHERENG;LA POSTE;59152;347;50.6109677856, 3.20210176372
"{""type"": ""Point"", ""coordinates"": [3.2468216521487, 50.680674613867]}";LEERS;LA POSTE;59115;792;50.6806746139, 3.24682165215
"{""type"": ""Point"", ""coordinates"": [3.1262142163239, 50.782516299488]}";HALLUIN;LA POSTE;59250;557;50.7825162995, 3.12621421632
"{""type"": ""Point"", ""coordinates"": [3.2323710362619, 50.616023878858]}";BAISIEUX;LA POSTE;59780;222;50.6160238789, 3.23237103626
"{""type"": ""Point"", ""coordinates"": [3.0304155248338, 50.551243051347]}";SECLIN;LA POSTE;59113;1589;50.5512430513, 3.03041552483
"{""type"": ""Point"", ""coordinates"": [2.9951130235378, 50.681321607807]}";VERLINGHEM;LA POSTE;59237;1754;50.6813216078, 2.99511302354
"{""type"": ""Point"", ""coordinates"": [3.0967347538701, 50.651793508136]}";MARCQ-EN-BAROEUL;LA POSTE;59700;1165;50.6517935081, 3.09673475387
"{""type"": ""Point"", ""coordinates"": [2.9707518310384, 50.668843136843]}";PERENCHIES;LA POSTE;59840;1317;50.6688431368, 2.97075183104
"{""type"": ""Point"", ""coordinates"": [2.8421194989281, 50.535786643418]}";SALOME;LA POSTE;59496;5507;50.5357866434, 2.84211949893
"{""type"": ""Point"", ""coordinates"": [3.0607377428694, 50.644611802302]}";LILLE;LA POSTE SAINT MARTIN;59000;5014;50.6446118023, 3.06073774287
"{""type"": ""Point"", ""coordinates"": [3.1588681689402, 50.688099202285]}";ROUBAIX;LA POSTE;59100;2000;50.6880992023, 3.15886816894
"{""type"": ""Point"", ""coordinates"": [3.0911954852061, 50.673756242781]}";MARCQ-EN-BAROEUL;POSTE CENTRALE;59700;5746;50.6737562428, 3.09119548521
"{""type"": ""Point"", ""coordinates"": [3.0629742669315, 50.632191135923]}";LILLE;LA POSTE BEAUX ARTS;59000;6386;50.6321911359, 3.06297426693
"{""type"": ""Point"", ""coordinates"": [3.0384019477647, 50.624201212244]}";LILLE;LA POSTE CORMONTAIGNE;59000;18302;50.6242012122, 3.03840194776
"{""type"": ""Point"", ""coordinates"": [3.1294844923051, 50.614825925189]}";VILLENEUVE D'ASCQ;LA POSTE;59650;15539;50.6148259252, 3.12948449231
"{""type"": ""Point"", ""coordinates"": [3.200754736506, 50.685235745744]}";ROUBAIX;LA POSTE;59100;20888;50.6852357457, 3.20075473651
"{""type"": ""Point"", ""coordinates"": [3.182629768347, 50.738378232384]}";TOURCOING;LA POSTE BOURGOGNE;59200;18981;50.7383782324, 3.18262976835
"{""type"": ""Point"", ""coordinates"": [3.1268534118752, 50.665807928501]}";WASQUEHAL;LA POSTE;59290;1834;50.6658079285, 3.12685341188
"{""type"": ""Point"", ""coordinates"": [2.9874441557646, 50.623275589148]}";SEQUEDIN;LA POSTE;59320;1625;50.6232755891, 2.98744415576
"{""type"": ""Point"", ""coordinates"": [3.1531505634484, 50.749949307232]}";NEUVILLE EN FERRAIN;LA POSTE;59960;1276;50.7499493072, 3.15315056345
"{""type"": ""Point"", ""coordinates"": [3.0134413732845, 50.639791456044]}";(LOMME) LILLE;LA POSTE;59160;1054;50.639791456, 3.01344137328
"{""type"": ""Point"", ""coordinates"": [3.0608317115653, 50.630713291556]}";LILLE;LA POSTE REPUBLIQUE;59000;929;50.6307132916, 3.06083171157
"{""type"": ""Point"", ""coordinates"": [2.8484518441058, 50.678615064703]}";ERQUINGHEM-LYS;LA POSTE;59193;467;50.6786150647, 2.84845184411
"{""type"": ""Point"", ""coordinates"": [3.0800850250423, 50.77185724545]}";BOUSBECQUE;LA POSTE;59166;309;50.7718572455, 3.08008502504
"{""type"": ""Point"", ""coordinates"": [2.8820575146363, 50.687611259602]}";ARMENTIERES;LA POSTE;59280;192;50.6876112596, 2.88205751464
"{""type"": ""Point"", ""coordinates"": [3.0281378231715, 50.650415779248]}";LAMBERSART;LA POSTE;59130;772;50.6504157792, 3.02813782317
"{""type"": ""Point"", ""coordinates"": [3.2088985318197, 50.666688149876]}";LANNOY;LA POSTE;59390;781;50.6666881499, 3.20889853182
"{""type"": ""Point"", ""coordinates"": [2.9030733789711, 50.68882303768]}";HOUPLINES;LA POSTE;59116;712;50.6888230377, 2.90307337897
"{""type"": ""Point"", ""coordinates"": [2.9905834610705, 50.645694799241]}";(LOMME) LILLE;LA POSTE;59160;5174;50.6456947992, 2.99058346107
"{""type"": ""Point"", ""coordinates"": [3.1393999854739, 50.664367781026]}";VILLENEUVE D'ASCQ;LA POSTE;59650;144;50.664367781, 3.13939998547
"{""type"": ""Point"", ""coordinates"": [3.1382568584093, 50.622660649682]}";VILLENEUVE D'ASCQ;LA POSTE CENTRE REGIONAL;59650;73;50.6226606497, 3.13825685841
"{""type"": ""Point"", ""coordinates"": [2.9984081186723, 50.711399914176]}";QUESNOY SUR DEULE;LA POSTE;59890;1344;50.7113999142, 2.99840811867
"{""type"": ""Point"", ""coordinates"": [2.9037704179317, 50.670514713277]}";LA CHAPELLE D'ARMENTIERES;LA POSTE;59930;335;50.6705147133, 2.90377041793
"{""type"": ""Point"", ""coordinates"": [3.145402535683, 50.674543924952]}";CROIX;LA POSTE;59170;404;50.674543925, 3.14540253568
