Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Coordonnee X;Coordonnee Y;Latitude;Longitude;Appariement;Localisation;Code nature uai;Nature uai;Etat établissement;Libellé état établissement;Code département;Code région;Code académie;Position
0590479A;Ecole primaire Andrée Chédid;ECOLE PRIMAIRE PUBLIQUE;ANDREE CHEDID;Public;20 A rue MARIE CURIE;;;59152;ANSTAING;713457.3;7056651.0;50.60676125980413;3.1897887049406837;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6067612598, 3.18978870494
0591689R;Ecole maternelle Louise Michel;ECOLE MATERNELLE PUBLIQUE;LOUISE MICHEL;Public;Rue Lamartine;;;59120;LOOS;701131.3;7057798.8;50.61720636943616;3.0159580597274154;Parfaite;Rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6172063694, 3.01595805973
0591692U;Ecole maternelle Charles Perrault;ECOLE MATERNELLE PUBLIQUE;CHARLES PERRAULT;Public;Rue des Frères Lumière;;;59120;LOOS;700730.7;7056952.7;50.609613612257526;3.0103056590901294;Parfaite;Rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6096136123, 3.01030565909
0591717W;Ecole primaire Edmond Rostand;ECOLE PRIMAIRE PUBLIQUE;EDMOND ROSTAND;Public;Rue Victor Hugo;;;59110;LA MADELEINE;704905.2;7061991.0;50.65480989200535;3.0692443396658953;Correcte;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.654809892, 3.06924433967
0591722B;Ecole maternelle Courbet;ECOLE MATERNELLE PUBLIQUE;COURBET;Public;Rue Courbet;;;59110;LA MADELEINE;704484.2;7062141.5;50.65616364628411;3.063302991840994;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6561636463, 3.06330299184
0591873R;Ecole primaire Jacques Prévert;ECOLE PRIMAIRE PUBLIQUE;JACQUES PREVERT;Public;15 rue de la Bourse;;;59274;MARQUILLIES;690544.4;7051134.7;50.55732631191193;2.8667785143970788;Parfaite;Rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5573263119, 2.8667785144
0591915L;Ecole primaire la Clairière;ECOLE PRIMAIRE PUBLIQUE;LA CLAIRIERE;Public;39 bis rue du Général de Gaulle;;;59239;LA NEUVILLE;703286.8;7044400.9;50.496948949449155;3.046252725360945;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.4969489494, 3.04625272536
0592033P;Ecole maternelle Pauline Kergomard;ECOLE MATERNELLE PUBLIQUE;PAULINE KERGOMARD;Public;1 RUE DU 11 NOVEMBRE;;;59790;RONCHIN;706223.0;7056197.1;50.60280177444133;3.0877561739737596;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6028017744, 3.08775617397
0592039W;Ecole maternelle Pauline Kergomard;ECOLE MATERNELLE PUBLIQUE;PAULINE KERGOMARD;Public;9 avenue Alphonse Loeul;;;59223;RONCQ;708781.5;7073288.5;50.75614316503821;3.124215002865045;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.756143165, 3.12421500287
0592072G;Ecole primaire Condorcet;ECOLE PRIMAIRE PUBLIQUE;CONDORCET;Public;48 rue Brezin;;;59100;ROUBAIX;711238.2;7065832.4;50.68919961023769;3.1587530924989773;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6891996102, 3.1587530925
0592075K;Ecole primaire Legouve;ECOLE PRIMAIRE PUBLIQUE;LEGOUVE;Public;46 rue de Soubise;;;59100;ROUBAIX;711925.0;7065705.0;50.688043615035745;3.168451100746859;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.688043615, 3.16845110075
0592079P;Ecole primaire Léon Jouhaux;ECOLE PRIMAIRE PUBLIQUE;LEON JOUHAUX;Public;32 boulevard du Cateau;;;59100;ROUBAIX;712554.1;7064614.6;50.678246455033154;3.177303076099097;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.678246455, 3.1773030761
0592080R;Ecole primaire Edouard Vaillant;ECOLE PRIMAIRE PUBLIQUE;EDOUARD VAILLANT;Public;50 rue Edouard Vaillant;;;59100;ROUBAIX;712396.6;7064406.8;50.67638488098673;3.1750721849759427;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.676384881, 3.17507218498
0592098K;Ecole primaire Michelet;ECOLE PRIMAIRE PUBLIQUE;MICHELET;Public;47 rue de Tunis;;;59100;ROUBAIX;712889.2;7065345.3;50.68479662780772;3.182059511151152;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6847966278, 3.18205951115
0592109X;Ecole élémentaire Boileau;ECOLE PRIMAIRE PUBLIQUE;BOILEAU-PASTEUR;Public;74 rue de Condé;;;59100;ROUBAIX;713661.6;7065637.5;50.68740223745145;3.1929796795378844;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6874022375, 3.19297967954
0592138D;Ecole primaire Marie Curie niveau 1;ECOLE PRIMAIRE PUBLIQUE;MARIE CURIE NIVEAU 1;Public;11 RUE DE L EGALITE;;;59184;SAINGHIN EN WEPPES;693152.6;7051743.5;50.562824478944066;2.90351534380966;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5628244789, 2.90351534381
0592231E;Ecole primaire Michelet;ECOLE PRIMAIRE PUBLIQUE;MICHELET;Public;47 rue Jean-Baptiste Mulier;;;59113;SECLIN;703861.9;7048321.5;50.53213627448582;3.054383681749474;Correcte;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5321362745, 3.05438368175
0592241R;Ecole primaire Felix Vanoverschelde;ECOLE PRIMAIRE PUBLIQUE;FELIX VANOVERSCHELDE;Public;69 rue d'Hallennes;;;59320;SEQUEDIN;698612.1;7058496.6;50.62346821871792;2.980419913207486;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6234682187, 2.98041991321
0592303H;Ecole primaire Pasteur;ECOLE PRIMAIRE PUBLIQUE;GROUPE SCOLAIRE PASTEUR;Public;Chemin de la Chapelle;;;59175;TEMPLEMARS;704114.1;7052565.8;50.57022873668771;3.057979073235154;Parfaite;Rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5702287367, 3.05797907324
0592350J;Ecole primaire Jacquard;ECOLE PRIMAIRE PUBLIQUE;JACQUARD;Public;33  RUE D'ANVERS;;;59200;TOURCOING;710460.1;7069193.5;50.71937335387097;3.147850422039568;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7193733539, 3.14785042204
0592352L;Ecole primaire La Fontaine niveau 1;ECOLE PRIMAIRE PUBLIQUE;LA FONTAINE NIVEAU 1;Public;101  RUE HOUCHARD;;;59200;TOURCOING;711094.5;7070623.7;50.732195582488366;3.15685761324141;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7321955825, 3.15685761324
0592362X;Ecole primaire Michelet;ECOLE PRIMAIRE PUBLIQUE;MICHELET;Public;34 rue Pasteur;;;59200;TOURCOING;711613.6;7069991.7;50.72651519735611;3.1641782170656882;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7265151974, 3.16417821707
0592367C;Ecole primaire Jean Macé;ECOLE PRIMAIRE PUBLIQUE;JEAN MACE;Public;62 rue du Flocon;;;59200;TOURCOING;710799.5;7068701.8;50.714955468219536;3.1526342945816097;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7149554682, 3.15263429458
0592372H;Ecole primaire René Lecocq;ECOLE PRIMAIRE PUBLIQUE;RENE LECOCQ;Public;107 RUE CLAUDE BERNARD;;;59200;TOURCOING;710774.7;7066811.2;50.697991015404014;3.1522322706705546;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6979910154, 3.15223227067
0592436C;Ecole primaire Gutenberg;ECOLE PRIMAIRE PUBLIQUE;GUTENBERG;Public;Place de la Mairie;;;59237;VERLINGHEM;699746.5;7064947.6;50.68136110999661;2.996419569505809;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.68136111, 2.99641956951
0592495S;Ecole primaire Jules Ferry;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY;Public;35 rue du Général Leclerc;;;59118;WAMBRECHIES;703546.3;7065447.8;50.68583966403199;3.0500923672644444;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.685839664, 3.05009236726
0592502Z;Ecole primaire Pablo Picasso;ECOLE PRIMAIRE PUBLIQUE;PABLO PICASSO;Public;2 rue Jean Baptiste Tonnel;;;59830;WANNEHAIN;718879.1;7052568.7;50.56998285953152;3.266058030297063;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.5699828595, 3.2660580303
0592509G;Ecole primaire Lavoisier;ECOLE PRIMAIRE PUBLIQUE;LAVOISIER;Public;7 rue Lavoisier;;;59150;WATTRELOS;714432.5;7067092.3;50.700439407621346;3.2039222063454087;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.7004394076, 3.20392220635
0592547Y;Ecole primaire Jean Macé;ECOLE PRIMAIRE PUBLIQUE;JEAN MACE;Public;11  RUE DE LONDRES;;;59150;WATTRELOS;714591.1;7066749.0;50.697355154915805;3.2061504514474906;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6973551549, 3.20615045145
0592580J;Ecole primaire Condorcet;ECOLE PRIMAIRE PUBLIQUE;CONDORCET;Public;ALLEE MARCEL DERIEPPE;;;59780;WILLEMS;716973.8;7059674.3;50.63380781378932;3.23951106661373;Parfaite;Numéro de rue;151;Ecole élémentaire;1;Ouvert;59;32;09;50.6338078138, 3.23951106661
0592601G;Ecole maternelle Les Glycines;ECOLE MATERNELLE PUBLIQUE;LES GLYCINES;Public;Avenue du Peuple Belge;;;59117;WERVICQ SUD;703629.6;7074961.2;50.77120288486705;3.0513563989349453;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.7712028849, 3.05135639893
0592625H;Ecole maternelle Gaston Leclercq;ECOLE MATERNELLE PUBLIQUE;GASTON LECLERCQ;Public;43  RUE DES GANTOIS;;;59110;LA MADELEINE;704654.2;7061724.7;50.652422040351894;3.0656979678195606;Parfaite;Numéro de rue;101;Ecole maternelle;1;Ouvert;59;32;09;50.6524220404, 3.06569796782
